SKILL,TASK
ASP.NET,Tools/Digital machinery/Non-autonomous/Computing devices/Advanced ICT
Python,Tools/Digital machinery/Non-autonomous/Computing devices/Advanced ICT
Hypertext Preprocessor (PHP),Tools/Digital machinery/Non-autonomous/Computing devices/Advanced ICT
jQuery,Tools/Digital machinery/Non-autonomous/Computing devices/Advanced ICT
HTML5,Tools/Digital machinery/Non-autonomous/Computing devices/Advanced ICT
Extensible Markup Language (XML),Tools/Digital machinery/Non-autonomous/Computing devices/Advanced ICT
UNIX,Tools/Digital machinery/Non-autonomous/Computing devices/Advanced ICT
MySQL,Tools/Digital machinery/Non-autonomous/Computing devices/Advanced ICT
Computer Numerical Control (CNC),Tools/Digital machinery/Non-autonomous/Computing devices/Advanced ICT
Git,Tools/Digital machinery/Non-autonomous/Computing devices/Advanced ICT
Microsoft Sharepoint,Tools/Digital machinery/Non-autonomous/Computing devices/Advanced ICT
Windows Server,Tools/Digital machinery/Non-autonomous/Computing devices/Advanced ICT
Web Application Development,Tools/Digital machinery/Non-autonomous/Computing devices/Advanced ICT
Object-Oriented Analysis and Design (OOAD),Tools/Digital machinery/Non-autonomous/Computing devices/Advanced ICT
DevOps,Tools/Digital machinery/Non-autonomous/Computing devices/Advanced ICT
Data Management,Tools/Digital machinery/Non-autonomous/Computing devices/Advanced ICT
CSS,Tools/Digital machinery/Non-autonomous/Computing devices/Advanced ICT
AngularJS,Tools/Digital machinery/Non-autonomous/Computing devices/Advanced ICT
Continuous Integration (CI),Tools/Digital machinery/Non-autonomous/Computing devices/Advanced ICT
Front-end Development,Tools/Digital machinery/Non-autonomous/Computing devices/Advanced ICT
ASP.NET MVC,Tools/Digital machinery/Non-autonomous/Computing devices/Advanced ICT
System Administration,Tools/Digital machinery/Non-autonomous/Computing devices/Advanced ICT
Data Warehousing,Tools/Digital machinery/Non-autonomous/Computing devices/Advanced ICT
Transact-SQL,Tools/Digital machinery/Non-autonomous/Computing devices/Advanced ICT
Virtualisation,Tools/Digital machinery/Non-autonomous/Computing devices/Advanced ICT
Big Data,Tools/Digital machinery/Non-autonomous/Computing devices/Advanced ICT
Citrix,Tools/Digital machinery/Non-autonomous/Computing devices/Advanced ICT
Wide Area Network (WAN),Tools/Digital machinery/Non-autonomous/Computing devices/Advanced ICT
Software as a Service (SaaS),Tools/Digital machinery/Non-autonomous/Computing devices/Advanced ICT
Domain Name System (DNS),Tools/Digital machinery/Non-autonomous/Computing devices/Advanced ICT
Database Administration,Tools/Digital machinery/Non-autonomous/Computing devices/Advanced ICT
SQL Server Reporting Services (SSRS),Tools/Digital machinery/Non-autonomous/Computing devices/Advanced ICT
Visual Studio,Tools/Digital machinery/Non-autonomous/Computing devices/Advanced ICT
Extraction Transformation and Loading (ETL),Tools/Digital machinery/Non-autonomous/Computing devices/Advanced ICT
Atlassian JIRA,Tools/Digital machinery/Non-autonomous/Computing devices/Advanced ICT
AJAX,Tools/Digital machinery/Non-autonomous/Computing devices/Advanced ICT
Apache Webserver,Tools/Digital machinery/Non-autonomous/Computing devices/Advanced ICT
PERL Scripting Language,Tools/Digital machinery/Non-autonomous/Computing devices/Advanced ICT
System Design,Tools/Digital machinery/Non-autonomous/Computing devices/Advanced ICT
Microsoft SQL,Tools/Digital machinery/Non-autonomous/Computing devices/Advanced ICT
Relational Databases,Tools/Digital machinery/Non-autonomous/Computing devices/Advanced ICT
Version Control,Tools/Digital machinery/Non-autonomous/Computing devices/Advanced ICT
Configuration Management,Tools/Digital machinery/Non-autonomous/Computing devices/Advanced ICT
Systems Integration,Tools/Digital machinery/Non-autonomous/Computing devices/Advanced ICT
JavaScript Object Notation (JSON),Tools/Digital machinery/Non-autonomous/Computing devices/Advanced ICT
Software Architecture,Tools/Digital machinery/Non-autonomous/Computing devices/Advanced ICT
Visual Basic for Applications (VBA),Tools/Digital machinery/Non-autonomous/Computing devices/Advanced ICT
Microsoft Azure,Tools/Digital machinery/Non-autonomous/Computing devices/Advanced ICT
Microsoft Sql Server Integration Services (SSIS),Tools/Digital machinery/Non-autonomous/Computing devices/Advanced ICT
Systems Development Life Cycle (SDLC),Tools/Digital machinery/Non-autonomous/Computing devices/Advanced ICT
Selenium,Tools/Digital machinery/Non-autonomous/Computing devices/Advanced ICT
Systems Development,Tools/Digital machinery/Non-autonomous/Computing devices/Advanced ICT
Software Testing,Tools/Digital machinery/Non-autonomous/Computing devices/Advanced ICT
Database Design,Tools/Digital machinery/Non-autonomous/Computing devices/Advanced ICT
Waterfall Development Process,Tools/Digital machinery/Non-autonomous/Computing devices/Advanced ICT
Simulation,Tools/Digital machinery/Non-autonomous/Computing devices/Advanced ICT
NoSQL,Tools/Digital machinery/Non-autonomous/Computing devices/Advanced ICT
User Interface (UI) Design,Tools/Digital machinery/Non-autonomous/Computing devices/Advanced ICT
Engineering Design and Installation,Tools/Digital machinery/Non-autonomous/Computing devices/Advanced ICT
Hardware and Software Installation,Tools/Digital machinery/Non-autonomous/Computing devices/Advanced ICT
Hardware and Software Configuration,Tools/Digital machinery/Non-autonomous/Computing devices/Advanced ICT
Microsoft PowerShell,Tools/Digital machinery/Non-autonomous/Computing devices/Advanced ICT
Systems Analysis,Tools/Digital machinery/Non-autonomous/Computing devices/Advanced ICT
Unified Modelling Language (UML),Tools/Digital machinery/Non-autonomous/Computing devices/Advanced ICT
Debugging,Tools/Digital machinery/Non-autonomous/Computing devices/Advanced ICT
Network Hardware/Software Maintenance,Tools/Digital machinery/Non-autonomous/Computing devices/Advanced ICT
Ruby,Tools/Digital machinery/Non-autonomous/Computing devices/Advanced ICT
Teradata DBA,Tools/Digital machinery/Non-autonomous/Computing devices/Advanced ICT
Hyper-V,Tools/Digital machinery/Non-autonomous/Computing devices/Advanced ICT
Investment Management,Tools/Digital machinery/Non-autonomous/Computing devices/Advanced ICT
Bootstrapping,Tools/Digital machinery/Non-autonomous/Computing devices/Advanced ICT
Database Management,Tools/Digital machinery/Non-autonomous/Computing devices/Advanced ICT
Oracle PL/SQL,Tools/Digital machinery/Non-autonomous/Computing devices/Advanced ICT
Embedded Software,Tools/Digital machinery/Non-autonomous/Computing devices/Advanced ICT
Machine Learning,Tools/Digital machinery/Non-autonomous/Computing devices/Advanced ICT
Virtual Private Networking (VPN),Tools/Digital machinery/Non-autonomous/Computing devices/Advanced ICT
Voice over IP (VoIP),Tools/Digital machinery/Non-autonomous/Computing devices/Advanced ICT
Apache Hadoop,Tools/Digital machinery/Non-autonomous/Computing devices/Advanced ICT
Puppet,Tools/Digital machinery/Non-autonomous/Computing devices/Advanced ICT
Bash,Tools/Digital machinery/Non-autonomous/Computing devices/Advanced ICT
Node.js,Tools/Digital machinery/Non-autonomous/Computing devices/Advanced ICT
Data Migration,Tools/Digital machinery/Non-autonomous/Computing devices/Advanced ICT
Middleware,Tools/Digital machinery/Non-autonomous/Computing devices/Advanced ICT
MongoDB,Tools/Digital machinery/Non-autonomous/Computing devices/Advanced ICT
Data Modelling,Tools/Digital machinery/Non-autonomous/Computing devices/Advanced ICT
Tomcat,Tools/Digital machinery/Non-autonomous/Computing devices/Advanced ICT
Ansible,Tools/Digital machinery/Non-autonomous/Computing devices/Advanced ICT
Relational DataBase Management System (RDBMS),Tools/Digital machinery/Non-autonomous/Computing devices/Advanced ICT
Java Server Pages (JSP),Tools/Digital machinery/Non-autonomous/Computing devices/Advanced ICT
Multithreaded Programming,Tools/Digital machinery/Non-autonomous/Computing devices/Advanced ICT
GitHub,Tools/Digital machinery/Non-autonomous/Computing devices/Advanced ICT
Citrix XenApp,Tools/Digital machinery/Non-autonomous/Computing devices/Advanced ICT
R,Tools/Digital machinery/Non-autonomous/Computing devices/Advanced ICT
Ruby on Rails,Tools/Digital machinery/Non-autonomous/Computing devices/Advanced ICT
SPSS,Tools/Digital machinery/Non-autonomous/Computing devices/Advanced ICT
Apache Ant,Tools/Digital machinery/Non-autonomous/Computing devices/Advanced ICT
Atlassian Bamboo,Tools/Digital machinery/Non-autonomous/Computing devices/Advanced ICT
Less.js,Tools/Digital machinery/Non-autonomous/Computing devices/Advanced ICT
UNIX Platforms,Tools/Digital machinery/Non-autonomous/Computing devices/Advanced ICT
OpenStack,Tools/Digital machinery/Non-autonomous/Computing devices/Advanced ICT
iOS Testing,Tools/Digital machinery/Non-autonomous/Computing devices/Advanced ICT
Minitab,Tools/Digital machinery/Non-autonomous/Computing devices/Advanced ICT
S-Plus,Tools/Digital machinery/Non-autonomous/Computing devices/Advanced ICT
CakePHP,Tools/Digital machinery/Non-autonomous/Computing devices/Advanced ICT
Grails,Tools/Digital machinery/Non-autonomous/Computing devices/Advanced ICT
STATA,Tools/Digital machinery/Non-autonomous/Computing devices/Advanced ICT
Abaqus,Tools/Digital machinery/Non-autonomous/Computing devices/Advanced ICT
Cisco Wireless,Tools/Digital machinery/Non-autonomous/Computing devices/Advanced ICT
Statistical Programming,Tools/Digital machinery/Non-autonomous/Computing devices/Advanced ICT
SQLite,Tools/Digital machinery/Non-autonomous/Computing devices/Advanced ICT
Application Programming Interface (API),Tools/Digital machinery/Non-autonomous/Computing devices/Advanced ICT
WebGL,Tools/Digital machinery/Non-autonomous/Computing devices/Advanced ICT
AWS CloudFront,Tools/Digital machinery/Non-autonomous/Computing devices/Advanced ICT
Machine Vision,Tools/Digital machinery/Non-autonomous/Computing devices/Advanced ICT
JAX-RS,Tools/Digital machinery/Non-autonomous/Computing devices/Advanced ICT
Storage Architectures,Tools/Digital machinery/Non-autonomous/Computing devices/Advanced ICT
SAS Enterprise Miner,Tools/Digital machinery/Non-autonomous/Computing devices/Advanced ICT
E-Views,Tools/Digital machinery/Non-autonomous/Computing devices/Advanced ICT
Streaming Media,Tools/Digital machinery/Non-autonomous/Computing devices/Advanced ICT
Microfocus,Tools/Digital machinery/Non-autonomous/Computing devices/Advanced ICT
Convolutional Neural Network (CNN),Tools/Digital machinery/Non-autonomous/Computing devices/Advanced ICT
IBM MQ Series,Tools/Digital machinery/Non-autonomous/Computing devices/Advanced ICT
Apache Cordova,Tools/Digital machinery/Non-autonomous/Computing devices/Advanced ICT
Next Generation Networks,Tools/Digital machinery/Non-autonomous/Computing devices/Advanced ICT
SPSS Modeller,Tools/Digital machinery/Non-autonomous/Computing devices/Advanced ICT
Application Lifecycle Management (ALM) Software,Tools/Digital machinery/Non-autonomous/Computing devices/Advanced ICT
Automation Software,Tools/Digital machinery/Non-autonomous/Computing devices/Advanced ICT
XUL,Tools/Digital machinery/Non-autonomous/Computing devices/Advanced ICT
Autoencoders,Tools/Digital machinery/Non-autonomous/Computing devices/Advanced ICT
Xbase,Tools/Digital machinery/Non-autonomous/Computing devices/Advanced ICT
IBM VisualAge,Tools/Digital machinery/Non-autonomous/Computing devices/Advanced ICT
Carbon Mitigation Software,Tools/Digital machinery/Non-autonomous/Computing devices/Advanced ICT
Social Media,Tools/Digital machinery/Non-autonomous/Computing devices/Specialised ICT
SAP,Tools/Digital machinery/Non-autonomous/Computing devices/Specialised ICT
Oracle,Tools/Digital machinery/Non-autonomous/Computing devices/Specialised ICT
Web Development,Tools/Digital machinery/Non-autonomous/Computing devices/Specialised ICT
AutoCAD,Tools/Digital machinery/Non-autonomous/Computing devices/Specialised ICT
Facebook,Tools/Digital machinery/Non-autonomous/Computing devices/Specialised ICT
Adobe Photoshop,Tools/Digital machinery/Non-autonomous/Computing devices/Specialised ICT
Microsoft Active Directory,Tools/Digital machinery/Non-autonomous/Computing devices/Specialised ICT
VMware,Tools/Digital machinery/Non-autonomous/Computing devices/Specialised ICT
Cisco,Tools/Digital machinery/Non-autonomous/Computing devices/Specialised ICT
Prince,Tools/Digital machinery/Non-autonomous/Computing devices/Specialised ICT
Adobe Indesign,Tools/Digital machinery/Non-autonomous/Computing devices/Specialised ICT
Microsoft Project,Tools/Digital machinery/Non-autonomous/Computing devices/Specialised ICT
Web Site Design,Tools/Digital machinery/Non-autonomous/Computing devices/Specialised ICT
Salesforce,Tools/Digital machinery/Non-autonomous/Computing devices/Specialised ICT
Microsoft Exchange,Tools/Digital machinery/Non-autonomous/Computing devices/Specialised ICT
Transmission Control Protocol / Internet Protocol (TCP / IP),Tools/Digital machinery/Non-autonomous/Computing devices/Specialised ICT
Microsoft Access,Tools/Digital machinery/Non-autonomous/Computing devices/Specialised ICT
SAS,Tools/Digital machinery/Non-autonomous/Computing devices/Specialised ICT
Microsoft Dynamics,Tools/Digital machinery/Non-autonomous/Computing devices/Specialised ICT
Adobe Acrobat,Tools/Digital machinery/Non-autonomous/Computing devices/Specialised ICT
Adobe Creative Suite,Tools/Digital machinery/Non-autonomous/Computing devices/Specialised ICT
Adobe Illustrator,Tools/Digital machinery/Non-autonomous/Computing devices/Specialised ICT
Google Analytics,Tools/Digital machinery/Non-autonomous/Computing devices/Specialised ICT
Data Quality,Tools/Digital machinery/Non-autonomous/Computing devices/Specialised ICT
Pivot Tables,Tools/Digital machinery/Non-autonomous/Computing devices/Specialised ICT
Revit,Tools/Digital machinery/Non-autonomous/Computing devices/Specialised ICT
Microsoft Visio,Tools/Digital machinery/Non-autonomous/Computing devices/Specialised ICT
SolidWorks,Tools/Digital machinery/Non-autonomous/Computing devices/Specialised ICT
Dynamic Host Configuration Protocol (DHCP),Tools/Digital machinery/Non-autonomous/Computing devices/Specialised ICT
Document Management,Tools/Digital machinery/Non-autonomous/Computing devices/Specialised ICT
Content Management Systems (CMS),Tools/Digital machinery/Non-autonomous/Computing devices/Specialised ICT
LinkedIn,Tools/Digital machinery/Non-autonomous/Computing devices/Specialised ICT
Digital Design,Tools/Digital machinery/Non-autonomous/Computing devices/Specialised ICT
3D Modelling / Design,Tools/Digital machinery/Non-autonomous/Computing devices/Specialised ICT
Red Hat Linux,Tools/Digital machinery/Non-autonomous/Computing devices/Specialised ICT
MATLAB,Tools/Digital machinery/Non-autonomous/Computing devices/Specialised ICT
Help Desk Support,Tools/Digital machinery/Non-autonomous/Computing devices/Specialised ICT
SAP BusinessObjects,Tools/Digital machinery/Non-autonomous/Computing devices/Specialised ICT
Social Media Tools,Tools/Digital machinery/Non-autonomous/Computing devices/Specialised ICT
Tableau,Tools/Digital machinery/Non-autonomous/Computing devices/Specialised ICT
Social Media Platforms,Tools/Digital machinery/Non-autonomous/Computing devices/Specialised ICT
Global Positioning System (GPS),Tools/Digital machinery/Non-autonomous/Computing devices/Specialised ICT
Design Software,Tools/Digital machinery/Non-autonomous/Computing devices/Specialised ICT
Amazon Web Services (AWS),Tools/Digital machinery/Non-autonomous/Computing devices/Specialised ICT
Billing Systems,Tools/Digital machinery/Non-autonomous/Computing devices/Specialised ICT
Google AdWords,Tools/Digital machinery/Non-autonomous/Computing devices/Specialised ICT
Cognos Impromptu,Tools/Digital machinery/Non-autonomous/Computing devices/Specialised ICT
Solaris,Tools/Digital machinery/Non-autonomous/Computing devices/Specialised ICT
Microsoft Dynamics AX,Tools/Digital machinery/Non-autonomous/Computing devices/Specialised ICT
Qlikview,Tools/Digital machinery/Non-autonomous/Computing devices/Specialised ICT
R,Tools/Digital machinery/Non-autonomous/Computing devices/Specialised ICT
SPSS,Tools/Digital machinery/Non-autonomous/Computing devices/Specialised ICT
Team Foundation Server,Tools/Digital machinery/Non-autonomous/Computing devices/Specialised ICT
Crystal Reports,Tools/Digital machinery/Non-autonomous/Computing devices/Specialised ICT
Data Visualisation,Tools/Digital machinery/Non-autonomous/Computing devices/Specialised ICT
Autodesk,Tools/Digital machinery/Non-autonomous/Computing devices/Specialised ICT
VHSIC hardware description language (VHDL),Tools/Digital machinery/Non-autonomous/Computing devices/Specialised ICT
Ubuntu,Tools/Digital machinery/Non-autonomous/Computing devices/Specialised ICT
CAD / CAM (Computer-Aided Design / Manufacturing),Tools/Digital machinery/Non-autonomous/Computing devices/Specialised ICT
Adobe Aftereffects,Tools/Digital machinery/Non-autonomous/Computing devices/Specialised ICT
SketchUp,Tools/Digital machinery/Non-autonomous/Computing devices/Specialised ICT
Oracle E-Business Suite,Tools/Digital machinery/Non-autonomous/Computing devices/Specialised ICT
Oracle Business Intelligence Enterprise Edition (OBIEE),Tools/Digital machinery/Non-autonomous/Computing devices/Specialised ICT
Advanced Business Application Programming (ABAP),Tools/Digital machinery/Non-autonomous/Computing devices/Specialised ICT
Interaction Design,Tools/Digital machinery/Non-autonomous/Computing devices/Specialised ICT
SAP Business Intelligence (BI),Tools/Digital machinery/Non-autonomous/Computing devices/Specialised ICT
Search Marketing,Tools/Digital machinery/Non-autonomous/Computing devices/Specialised ICT
Really Simple Syndication(RSS),Tools/Digital machinery/Non-autonomous/Computing devices/Specialised ICT
Search Engine Marketing (SEM),Tools/Digital machinery/Non-autonomous/Computing devices/Specialised ICT
Civil 3D,Tools/Digital machinery/Non-autonomous/Computing devices/Specialised ICT
Microstrategy,Tools/Digital machinery/Non-autonomous/Computing devices/Specialised ICT
Oracle Business Intelligence (BI) / OBIA,Tools/Digital machinery/Non-autonomous/Computing devices/Specialised ICT
Public Key Infrastructure (PKI),Tools/Digital machinery/Non-autonomous/Computing devices/Specialised ICT
Microsoft Business Intelligence (BI) Stack,Tools/Digital machinery/Non-autonomous/Computing devices/Specialised ICT
Qlik,Tools/Digital machinery/Non-autonomous/Computing devices/Specialised ICT
Desktop Publishing,Tools/Digital machinery/Non-autonomous/Computing devices/Specialised ICT
Spotfire,Tools/Digital machinery/Non-autonomous/Computing devices/Specialised ICT
3D Studio Max,Tools/Digital machinery/Non-autonomous/Computing devices/Specialised ICT
Adobe Premiere,Tools/Digital machinery/Non-autonomous/Computing devices/Specialised ICT
Cisco Call Manager,Tools/Digital machinery/Non-autonomous/Computing devices/Specialised ICT
MAYA,Tools/Digital machinery/Non-autonomous/Computing devices/Specialised ICT
Final Cut Pro,Tools/Digital machinery/Non-autonomous/Computing devices/Specialised ICT
QuarkXPress,Tools/Digital machinery/Non-autonomous/Computing devices/Specialised ICT
Minitab,Tools/Digital machinery/Non-autonomous/Computing devices/Specialised ICT
S-Plus,Tools/Digital machinery/Non-autonomous/Computing devices/Specialised ICT
Navisworks,Tools/Digital machinery/Non-autonomous/Computing devices/Specialised ICT
Blackberry Enterprise Server,Tools/Digital machinery/Non-autonomous/Computing devices/Specialised ICT
Paint Shop Pro,Tools/Digital machinery/Non-autonomous/Computing devices/Specialised ICT
STATA,Tools/Digital machinery/Non-autonomous/Computing devices/Specialised ICT
Pandas,Tools/Digital machinery/Non-autonomous/Computing devices/Specialised ICT
Ad Serving,Tools/Digital machinery/Non-autonomous/Computing devices/Specialised ICT
Alteryx,Tools/Digital machinery/Non-autonomous/Computing devices/Specialised ICT
IBM Cognos,Tools/Digital machinery/Non-autonomous/Computing devices/Specialised ICT
Oracle Development,Tools/Digital machinery/Non-autonomous/Computing devices/Specialised ICT
Statistical Programming,Tools/Digital machinery/Non-autonomous/Computing devices/Specialised ICT
Cisco Voice,Tools/Digital machinery/Non-autonomous/Computing devices/Specialised ICT
ERwin,Tools/Digital machinery/Non-autonomous/Computing devices/Specialised ICT
Poster Design,Tools/Digital machinery/Non-autonomous/Computing devices/Specialised ICT
Yammer,Tools/Digital machinery/Non-autonomous/Computing devices/Specialised ICT
Chi Square Automatic Interaction Detection (CHAID),Tools/Digital machinery/Non-autonomous/Computing devices/Specialised ICT
Salesforce Sales Cloud,Tools/Digital machinery/Non-autonomous/Computing devices/Specialised ICT
Adobe Freehand,Tools/Digital machinery/Non-autonomous/Computing devices/Specialised ICT
Crisis Communications,Tools/Digital machinery/Non-autonomous/Computing devices/Specialised ICT
Microsoft Business Intelligence Development,Tools/Digital machinery/Non-autonomous/Computing devices/Specialised ICT
Adobe Campaign,Tools/Digital machinery/Non-autonomous/Computing devices/Specialised ICT
SAP BusinessObjects Web Intelligence (WebI),Tools/Digital machinery/Non-autonomous/Computing devices/Specialised ICT
Microsoft Publisher,Tools/Digital machinery/Non-autonomous/Computing devices/Specialised ICT
Verint Systems,Tools/Digital machinery/Non-autonomous/Computing devices/Specialised ICT
V-Ray,Tools/Digital machinery/Non-autonomous/Computing devices/Specialised ICT
Business Intelligence Software,Tools/Digital machinery/Non-autonomous/Computing devices/Specialised ICT
Tumblr,Tools/Digital machinery/Non-autonomous/Computing devices/Specialised ICT
Cisco Unified Contact Centre Express (UCCX),Tools/Digital machinery/Non-autonomous/Computing devices/Specialised ICT
Oracle Endeca,Tools/Digital machinery/Non-autonomous/Computing devices/Specialised ICT
Oracle Reports,Tools/Digital machinery/Non-autonomous/Computing devices/Specialised ICT
Graphics Software,Tools/Digital machinery/Non-autonomous/Computing devices/Specialised ICT
Oracle Retail,Tools/Digital machinery/Non-autonomous/Computing devices/Specialised ICT
CorelDRAW,Tools/Digital machinery/Non-autonomous/Computing devices/Specialised ICT
Oracle Discoverer,Tools/Digital machinery/Non-autonomous/Computing devices/Specialised ICT
Infor Software,Tools/Digital machinery/Non-autonomous/Computing devices/Specialised ICT
SAS BI Tools,Tools/Digital machinery/Non-autonomous/Computing devices/Specialised ICT
Page Design,Tools/Digital machinery/Non-autonomous/Computing devices/Specialised ICT
Pattern Recognition,Tools/Digital machinery/Non-autonomous/Computing devices/Specialised ICT
CANalyzer,Tools/Digital machinery/Non-autonomous/Computing devices/Specialised ICT
Enterprise Messaging,Tools/Digital machinery/Non-autonomous/Computing devices/Specialised ICT
Symantec Endpoint Protection,Tools/Digital machinery/Non-autonomous/Computing devices/Specialised ICT
OpenCV,Tools/Digital machinery/Non-autonomous/Computing devices/Specialised ICT
Microsoft Azure Cloud Services,Tools/Digital machinery/Non-autonomous/Computing devices/Specialised ICT
SAS Enterprise Miner,Tools/Digital machinery/Non-autonomous/Computing devices/Specialised ICT
E-Views,Tools/Digital machinery/Non-autonomous/Computing devices/Specialised ICT
Mahout,Tools/Digital machinery/Non-autonomous/Computing devices/Specialised ICT
POP3,Tools/Digital machinery/Non-autonomous/Computing devices/Specialised ICT
Sendmail,Tools/Digital machinery/Non-autonomous/Computing devices/Specialised ICT
Oracle 11I,Tools/Digital machinery/Non-autonomous/Computing devices/Specialised ICT
GNU Image Manipulation Programme (GIMP),Tools/Digital machinery/Non-autonomous/Computing devices/Specialised ICT
Cognos Report Studio,Tools/Digital machinery/Non-autonomous/Computing devices/Specialised ICT
Analysis Computing Tools,Tools/Digital machinery/Non-autonomous/Computing devices/Specialised ICT
DODAF,Tools/Digital machinery/Non-autonomous/Computing devices/Specialised ICT
COMSOL,Tools/Digital machinery/Non-autonomous/Computing devices/Specialised ICT
Distributed Control Systems (DCS),Tools/Digital machinery/Non-autonomous/Computing devices/Specialised ICT
Oracle Manufacturing,Tools/Digital machinery/Non-autonomous/Computing devices/Specialised ICT
ETAP Software,Tools/Digital machinery/Non-autonomous/Computing devices/Specialised ICT
Mathematica,Tools/Digital machinery/Non-autonomous/Computing devices/Specialised ICT
Analyst Relations,Tools/Digital machinery/Non-autonomous/Computing devices/Specialised ICT
Avid Media Composer,Tools/Digital machinery/Non-autonomous/Computing devices/Specialised ICT
Microsoft Lync Server,Tools/Digital machinery/Non-autonomous/Computing devices/Specialised ICT
Cisco WebEx,Tools/Digital machinery/Non-autonomous/Computing devices/Specialised ICT
Oracle BI Publisher,Tools/Digital machinery/Non-autonomous/Computing devices/Specialised ICT
Business Rules Engines,Tools/Digital machinery/Non-autonomous/Computing devices/Specialised ICT
Factorytalk,Tools/Digital machinery/Non-autonomous/Computing devices/Specialised ICT
Print Shop,Tools/Digital machinery/Non-autonomous/Computing devices/Specialised ICT
Oracle SCM Advanced Procurement,Tools/Digital machinery/Non-autonomous/Computing devices/Specialised ICT
Apttus,Tools/Digital machinery/Non-autonomous/Computing devices/Specialised ICT
IBM Emptoris,Tools/Digital machinery/Non-autonomous/Computing devices/Specialised ICT
WEKA,Tools/Digital machinery/Non-autonomous/Computing devices/Specialised ICT
Oracle Hyperion Essbase,Tools/Digital machinery/Non-autonomous/Computing devices/Specialised ICT
SPSS Modeller,Tools/Digital machinery/Non-autonomous/Computing devices/Specialised ICT
Mathematical Programming,Tools/Digital machinery/Non-autonomous/Computing devices/Specialised ICT
BRIO,Tools/Digital machinery/Non-autonomous/Computing devices/Specialised ICT
SAP Lumira,Tools/Digital machinery/Non-autonomous/Computing devices/Specialised ICT
JD Edwards (JDE) EnterpriseOne,Tools/Digital machinery/Non-autonomous/Computing devices/Specialised ICT
IBM QRadar,Tools/Digital machinery/Non-autonomous/Computing devices/Specialised ICT
CA-7,Tools/Digital machinery/Non-autonomous/Computing devices/Specialised ICT
Knowledge Discovery,Tools/Digital machinery/Non-autonomous/Computing devices/Specialised ICT
Conceptual Data Models,Tools/Digital machinery/Non-autonomous/Computing devices/Specialised ICT
Adding Machine,Tools/Digital machinery/Non-autonomous/Computing devices/Specialised ICT
SAP Information Steward,Tools/Digital machinery/Non-autonomous/Computing devices/Specialised ICT
IBM Case Manager,Tools/Digital machinery/Non-autonomous/Computing devices/Specialised ICT
SAP TM Transportation Management Software,Tools/Digital machinery/Non-autonomous/Computing devices/Specialised ICT
HP Vertica,Tools/Digital machinery/Non-autonomous/Computing devices/Specialised ICT
BigMachines,Tools/Digital machinery/Non-autonomous/Computing devices/Specialised ICT
Adobe PageMaker,Tools/Digital machinery/Non-autonomous/Computing devices/Specialised ICT
CRISP-DM,Tools/Digital machinery/Non-autonomous/Computing devices/Specialised ICT
GeoJSON,Tools/Digital machinery/Non-autonomous/Computing devices/Specialised ICT
Strata Studio Pro,Tools/Digital machinery/Non-autonomous/Computing devices/Specialised ICT
Peopleclick,Tools/Digital machinery/Non-autonomous/Computing devices/Specialised ICT
Cg (Programming Language),Tools/Digital machinery/Non-autonomous/Computing devices/Specialised ICT
MathWorks MATLAB,Tools/Digital machinery/Non-autonomous/Computing devices/Specialised ICT
Microsoft Visio Professional,Tools/Digital machinery/Non-autonomous/Computing devices/Specialised ICT
Oracle Service Contracts,Tools/Digital machinery/Non-autonomous/Computing devices/Specialised ICT
Chartio,Tools/Digital machinery/Non-autonomous/Computing devices/Specialised ICT
Slim Framework,Tools/Digital machinery/Non-autonomous/Computing devices/Specialised ICT
Freelance Graphics,Tools/Digital machinery/Non-autonomous/Computing devices/Specialised ICT
Maple,Tools/Digital machinery/Non-autonomous/Computing devices/Specialised ICT
Unstructured Information Management Architecture,Tools/Digital machinery/Non-autonomous/Computing devices/Specialised ICT
Atlas.ti,Tools/Digital machinery/Non-autonomous/Computing devices/Specialised ICT
HP Sprinter,Tools/Digital machinery/Non-autonomous/Computing devices/Specialised ICT
SEMMA,Tools/Digital machinery/Non-autonomous/Computing devices/Specialised ICT
Optuminsight,Tools/Digital machinery/Non-autonomous/Computing devices/Specialised ICT
TreeMap,Tools/Digital machinery/Non-autonomous/Computing devices/Specialised ICT
Expectation-Maximisation (EM) Algorithm,Tools/Digital machinery/Non-autonomous/Computing devices/Specialised ICT
Telecommunications,Tools/Digital machinery/Non-autonomous/Computing devices/Other ICT
Printers,Tools/Digital machinery/Non-autonomous/Computing devices/Other ICT
Copying,Tools/Digital machinery/Non-autonomous/Computing devices/Other ICT
Scanners,Tools/Digital machinery/Non-autonomous/Computing devices/Other ICT
Phone Systems,Tools/Digital machinery/Non-autonomous/Computing devices/Other ICT
Scanning,Tools/Digital machinery/Non-autonomous/Computing devices/Other ICT
Calculator,Tools/Digital machinery/Non-autonomous/Computing devices/Other ICT
Document Shredding,Tools/Digital machinery/Non-autonomous/Computing devices/Other ICT
Plotters,Tools/Digital machinery/Non-autonomous/Computing devices/Other ICT
Cognex,Tools/Digital machinery/Non-autonomous/Computing devices/Other ICT
Radiologic Technology,Tools/Digital machinery/Non-autonomous/Computing devices/Other ICT
Multi-Line Telephones,Tools/Digital machinery/Non-autonomous/Computing devices/Other ICT
Ten-Key Calculator,Tools/Digital machinery/Non-autonomous/Computing devices/Other ICT
Cleaning,Other/Job title
